1. T Cell. IL7R; CD3E; LTB.
2. T Cell. CCL5; NKG7; GZMA.
3. Erythroblast. RPL34; RPS15A; RPS12.
4. T Cell. IL7R; CD3E; IL32.
5. Erythroblast. RPS6; RPLP0; STMN1.
6. T Cell. IL7R; CD3E; LTB.
7. B Cell. MS4A1; CD79A; HLA-DQA1.
8. Natural Killer (NK) Cell. GZMB; GNLY; PRF1.
9. Monocyte. FCN1; CD14; VCAN.
10. Monocyte. LYZ; FCER1G; TYROBP.
11. Erythroblast. ALAS2; SLC4A1; HBA1.
12. Natural Killer (NK) Cell. GZMH; GNLY; PRF1.
13. Erythroblast. ALAS2; AHSP; HBA1.
14. Neutrophil. MPO; PRTN3; ELANE.
15. Erythroblast. STMN1; TUBA1B; RPS8.
16. Erythroblast. SLC4A1; HBA1; GYPA.
17. Monocyte; Dendritic Cell. CD74; HLA-DRA; PTMA.
18. Plasma Cell. MZB1; CD38; SDC1.
19. Erythroblast. APOC1; BLVRB; CA1.
20. Monocyte. FCN1; CD68; LILRB2.
21. Mitochondrial Cell. MT-CO2; MT-CYB; MT-ND4L.
22. Erythroblast. RPS4X; RPLP0; CD74.
23. Erythroblast. RPS3; RPS27A; MT-CYB.
24. Erythroblast. CENPF; RHAG; GYPA.
25. Monocyte. S100A12; S100A8; FCER1G.
26. Erythroblast. AHSP; GYPA; KLF1.
27. Monocyte. PCLAF; CST3; STMN1.
28. Erythroblast. HBM; SLC4A1; GYPA.
29. Monocyte; Dendritic Cell. LY86; HLA-DRA; CST3.
30. Proliferating Cell. TOP2A; UBE2C; STMN1.
31. Plasma Cell; Dendritic Cell. JCHAIN; IGKC; HLA-DRA.
32. Plasma Cell. MZB1; IGKC; SSR4.
33. Platelet. PF4; GP9; ITGA2B.
34. Pre-B Cell. VPREB1; IGLL1; CD79B.
35. Macrophage. APOE; C1QA; CD68.
36. Mesenchymal Stromal Cell. CCDC80; LEPR; COL1A2.

