gene_id	E70	E73	E76	E79	E64	E65	E67	E69	E74	E75	E82	E91
ENSG00000282222	0	0	4	0	0	0	0	0	1	0	0	0
ENSG00000282221	34	24	17	52	40	44	37	22	13	22	18	28
ENSG00000285268	1	0	1	1	1	1	1	1	1	1	1	1
ENSG00000212040	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000110514	3747	3384	3676	3980	4293	3699	3869	4092	3961	3474	3826	3997
ENSG00000287159	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000086015	10932	13295	7792	16696	17426	12258	10687	16751	17410	10572	15014	14169
ENSG00000211769	0	2	1	1	4	4	1	11	3	4	10	4
ENSG00000211768	3	3	4	2	6	7	3	13	6	3	18	6
ENSG00000255071	0	0	0	0	0	0	0	12	0	0	3	12
ENSG00000211767	5	11	3	3	19	19	4	38	11	3	77	15
ENSG00000211766	2	2	1	3	5	2	1	5	2	3	21	5
ENSG00000211765	3	1	3	4	2	3	0	8	3	2	8	3
ENSG00000211764	4	5	4	2	11	12	5	21	3	3	28	6
ENSG00000201510	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169740	1943	1991	1797	1876	2202	2683	1477	2353	2217	2169	1554	2140
ENSG00000215869	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261609	1032	862	763	1767	1059	1242	1202	1060	998	973	849	1321
ENSG00000169744	2207	4539	3561	3783	3815	3626	2592	4483	3825	3822	1936	3006
ENSG00000261607	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261606	16	19	3718	6	10	4	32	14	15	17	0	25
ENSG00000215866	0	0	3	19	0	29	0	15	0	0	23	19
ENSG00000261604	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261603	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261602	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261600	41	34	25	31	71	4	28	32	16	13	9	49
ENSG00000293544	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293546	25	63	94	49	59	54	46	79	69	113	18	99
ENSG00000293541	27	38	12	48	6	3	22	9	4	3	7	37
ENSG00000293540	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293543	0	0	4	0	0	0	0	0	0	0	0	0
ENSG00000293542	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168297	2481	2539	1699	1489	1735	1798	735	2722	2329	3180	3141	2304
ENSG00000266460	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266461	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266466	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000293548	34	41	0	46	63	43	33	36	25	22	11	41
ENSG00000168291	4094	4320	3416	4044	3534	3810	2698	3912	3876	3574	2993	4145
ENSG00000262558	37	16	30	51	21	29	41	9	12	46	28	47
ENSG00000204220	1127	814	837	1584	1183	1336	1446	1187	932	954	1031	1175
ENSG00000254141	0	0	0	0	0	0	0	0	0	4	0	0
ENSG00000225108	64	77	56	97	76	219	64	35	42	79	38	112
ENSG00000248287	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225100	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000225101	0	5	6	3	4	0	3	1	0	0	3	7
ENSG00000225102	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233579	4	0	18	0	10	4	4	12	0	4	4	0
ENSG00000225105	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225106	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225107	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226457	3	0	2	3	4	0	0	3	1	0	0	4
ENSG00000226455	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226454	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149792	3030	2770	2547	4216	2599	3413	3256	3307	2861	2980	2680	3825
ENSG00000226450	13	26	85	67	109	61	93	41	65	36	24	57
ENSG00000206978	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000149798	831	595	614	257	580	548	521	860	842	899	171	937
ENSG00000238419	0	1	0	1	1	1	0	0	1	1	0	0
ENSG00000283571	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197847	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283573	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183054	2007	2281	1951	3177	2211	2298	1884	1985	2058	1859	1645	2677
ENSG00000283575	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251079	5	13	0	9	7	8	2	3	0	3	4	0
ENSG00000283576	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283579	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283578	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000181562	0	0	0	4	0	0	0	0	0	0	0	4
ENSG00000221628	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250566	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259244	75	51	49	116	103	101	90	57	152	58	100	35
ENSG00000250564	0	4	0	0	0	0	0	0	0	0	0	0
ENSG00000250565	227	228	180	249	222	201	214	280	213	197	198	362
ENSG00000250562	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250563	0	0	0	4	0	4	0	0	0	0	0	0
ENSG00000187961	1160	700	813	1555	2562	1103	864	1211	1340	762	1759	1448
ENSG00000250561	0	1	2	0	0	0	4	0	4	0	0	0
ENSG00000250568	0	0	4	6	0	7	7	0	8	9	10	7
ENSG00000250569	26	24	54	49	15	39	35	9	15	22	37	26
ENSG00000281591	2	0	1	0	0	1	0	0	1	0	0	0
ENSG00000220685	18	16	22	18	15	11	9	14	31	32	16	18
ENSG00000162843	0	9	19	8	31	20	5	8	5	0	0	12
ENSG00000259247	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162849	1834	2803	587	2387	2732	817	1569	3829	3698	715	2160	2126
ENSG00000286060	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286061	7	19	15	0	15	8	0	0	1	3	23	9
ENSG00000283689	3	0	0	6	4	0	0	0	0	6	38	6
ENSG00000149243	196	157	166	312	212	235	302	157	173	150	111	177
ENSG00000184702	1122	793	709	1715	1806	978	984	904	672	846	4731	653
ENSG00000259242	0	0	0	0	0	0	0	7	0	0	0	0
ENSG00000286066	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286067	105	137	161	192	170	114	143	112	144	99	183	80
ENSG00000286068	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283682	0	0	0	0	0	0	3	0	0	0	0	0
ENSG00000283680	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283686	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184708	2154	1810	1895	1951	2218	2202	1604	2183	2136	1939	1595	2264
ENSG00000184709	189	108	119	9995	25	55	8544	108	107	176	9	296
ENSG00000206811	1	1	1	0	1	1	1	1	1	1	1	1
ENSG00000163462	51	118	72	233	79	64	198	231	134	128	132	128
ENSG00000163463	2111	1622	2192	2733	2720	2905	2533	2302	2211	2305	2669	2292
ENSG00000163464	15	303	4	49	38	78	12	0	0	4	44	22
ENSG00000163466	12172	11773	7938	20106	10651	9246	15925	16033	10604	8806	18946	12663
ENSG00000163467	29	19	47	43	39	29	61	35	44	53	17	46
ENSG00000163468	16550	13914	12574	15862	15686	15676	14777	14585	14150	14359	9378	18756
ENSG00000206813	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162599	2741	2298	3302	9465	2464	3236	5822	1891	2098	2930	1238	2620
ENSG00000162598	391	699	599	429	177	52	287	127	57	50	252	236
ENSG00000267731	27	86	72	233	121	190	66	68	68	89	55	97
ENSG00000272386	20	12	18	23	25	14	13	6	28	16	6	10
ENSG00000029364	4842	5052	4097	6334	4321	5139	5317	5090	4155	4278	3584	5923
ENSG00000267732	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267735	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000029363	11193	14189	10196	19683	13616	12963	11512	11810	10513	13291	7868	13801
ENSG00000267737	0	18	5	12	16	4	4	20	6	3	0	16
ENSG00000162594	0	1	0	99	4	5	119	0	4	0	9	6
ENSG00000263609	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000263608	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206817	0	0	0	3	2	2	0	3	0	0	0	3
ENSG00000118640	1548	1349	1466	3858	1536	1636	3003	1704	1048	1323	2991	1777
ENSG00000263600	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000263603	4	5	21	10	2	0	4	10	11	5	0	9
ENSG00000168488	10803	7374	9904	11149	10935	8069	9942	9785	11272	9379	8658	11302
ENSG00000263604	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159961	0	0	0	2	0	0	3	4	8	0	0	1
ENSG00000259169	152	208	131	201	175	208	178	177	150	201	117	228
ENSG00000253144	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201467	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241866	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253141	3	4	9	0	0	0	0	0	20	4	0	18
