from,to,combined_score
9606.ENSP00000199936,9606.ENSP00000261196,211
9606.ENSP00000242057,9606.ENSP00000261196,324
9606.ENSP00000242057,9606.ENSP00000287820,573
9606.ENSP00000287820,9606.ENSP00000305355,275
9606.ENSP00000242057,9606.ENSP00000319788,688
9606.ENSP00000287820,9606.ENSP00000319788,419
9606.ENSP00000305355,9606.ENSP00000349252,276
9606.ENSP00000287820,9606.ENSP00000350815,200
9606.ENSP00000287820,9606.ENSP00000352121,252
9606.ENSP00000300093,9606.ENSP00000352121,240
9606.ENSP00000305355,9606.ENSP00000352121,688
9606.ENSP00000349252,9606.ENSP00000352121,279
9606.ENSP00000350815,9606.ENSP00000352121,330
9606.ENSP00000242057,9606.ENSP00000362108,240
9606.ENSP00000287820,9606.ENSP00000362108,414
9606.ENSP00000319788,9606.ENSP00000362108,203
9606.ENSP00000350815,9606.ENSP00000362108,269
9606.ENSP00000287820,9606.ENSP00000380948,216
9606.ENSP00000305355,9606.ENSP00000380948,423
9606.ENSP00000349252,9606.ENSP00000380948,999
9606.ENSP00000352121,9606.ENSP00000380948,355
