name,cor,p.value
PARK7,0.166020067536193,0.204886179076621
PIK3CD,0.32773768033379,0.0105800842838294
MTOR,0.0980631194859927,0.456021376754027
CTRC,0.325330433801259,0.0111999416254103
CASP9,0.123340453327155,0.347789830999989
LCK,-0.0128680699496092,0.922263534067955
AKR1A1,0.0840103356963346,0.523355250061826
JUN,-0.10432575599101,0.427618981389276
GCLM,-0.017698209709058,0.893231471757377
VCAM1,0.0809028983261736,0.538886891907104
GSTM1,0.263914268807054,0.0415952275693002
RHOC,-0.0994148725307534,0.449804933095795
MCL1,0.0257508868226603,0.845156619381469
S100A8,0.138156651657678,0.292476970047763
NES,0.128445292262471,0.328043372650533
ALDH9A1,-0.173030525662405,0.186137614382802
SELP,0.243836271941188,0.0604547013030395
SELE,-0.0132212611439741,0.920136754249481
PTGS2,-0.137410591698727,0.295116231661026
IL10,0.104153604321492,0.428386056980015
PARP1,0.204286048651233,0.117426554659071
MTR,0.123613682633051,0.346714655603536
TPO,0.269384606942384,0.0373975949214612
ID2,0.142101500144479,0.278778949407461
ADAM17,-0.0198116750882994,0.880569690825958
ODC1,0.187082234248582,0.152338331700442
RHOB,0.0768832163576341,0.559306137762004
DNMT3A,0.22833508412007,0.0793051173808331
XDH,-0.119793124263113,0.361935714086638
CYP1B1,-0.105110808182845,0.424130827198739
PRKCE,-0.0041447003840462,0.97492703434991
BCL2L11,0.0508378465786552,0.69967876375213
IL1B,0.0969250023126287,0.461291629626987
DPP4,-0.183334678804874,0.160871276042088
GCG,0.072807245541343,0.580377402267453
ITGA6,-0.364736305418862,0.00416714794206608
NFE2L2,-0.236632806210244,0.0687072239717434
COL3A1,0.0427876387190072,0.745477519102643
STAT1,-0.0528802609409668,0.688219015519564
STAT4,-0.0474257511633591,0.718971932631971
CASP8,-0.0791171504763935,0.547913090730573
CCL20,0.0898641887347281,0.49471702342607
PPARG,-0.396094296020941,0.00173145396767204
CTNNB1,-0.107161984493308,0.415093879877854
CCR3,0.295928128396129,0.0216923775019763
LTF,0.036820207577245,0.780012178113949
MST1,0.135072528788807,0.30348770280116
PRKCD,-0.0420319557408064,0.749824926191796
NR1I2,0.031131899630283,0.813330947787118
GSK3B,-0.0860556220958182,0.513256018040255
RHO,0.0114476783514373,0.930821896458867
PIK3CB,-0.216891450121477,0.095998098564505
SI,0.155288191731044,0.236113533985434
PIK3CA,-0.125760949306868,0.338336893740921
CTBP1,0.172771670383237,0.186807139238563
HGFAC,0.0229663580076688,0.861726102734423
PPARGC1A,-0.107503047959237,0.413602065238618
KDR,0.0200213522652236,0.879315080730794
TMPRSS11A,0.323221008112453,0.0117686841351391
DCK,-0.0146356652913285,0.911625484305413
CXCL8,0.0436390124165834,0.740589053186726
CXCL1,0.00519954354893001,0.968548755335167
CXCL3,-0.119364802264253,0.363667190050861
CXCL2,-0.120753428037663,0.358072044848318
MAPK10,0.181500379195784,0.16517380262211
NFKB1,-0.0760093760151513,0.56379297557416
CCNA2,-0.0573971128073471,0.663124783142077
IL15,-0.10087821274807,0.443128389509809
NR3C2,-0.268956585281137,0.0377128462900999
CASP3,0.0517905225422864,0.694324932448049
SDHA,-0.0535853925038382,0.68427858110103
SLC6A3,0.109909445125723,0.403164639517034
MAP3K1,-0.151061204306734,0.249269075131711
CCNB1,-0.0565237053597635,0.6679495966145
F2RL1,-0.133242292090033,0.310147074099379
SLC22A5,-0.258219755051244,0.0463700036013319
IL4,0.170191466883404,0.193575668856812
HDAC3,0.199867147012411,0.12574681624135
NR3C1,0.164628913663825,0.208760232921996
ADRB2,-0.0664714289511274,0.613830660831485
ITK,0.233885220198898,0.0720830353371232
SOX4,0.161345596880758,0.218107766414485
TNF,0.150925015832769,0.249701064273975
BAK1,0.214494905140841,0.099818042412616
MAPK14,-0.0161428616746513,0.902566708381614
CDKN1A,0.0880250082734878,0.503625851846024
PIM1,-0.063719715715595,0.628612950715334
CCND3,0.122011186091751,0.353049994976785
VEGFA,-0.153396521460138,0.241940556502533
FOXO3,-0.0490132102202122,0.709973320005375
FYN,0.0146524593588642,0.91152448228526
PTPRK,-0.173772045741761,0.184229249220407
ARG1,-0.0577781932561337,0.66102388866521
ESR1,-0.100784831784552,0.443552788743749
OPRM1,0.017693998643152,0.893256727818948
PLG,-0.0656182106750359,0.618398215557546
ACTB,0.150064328539394,0.252442940859799
RAC1,-0.0866419890871399,0.510378993356482
AHR,-0.282618950013948,0.0286752528542473
IL6,-0.00339250370910342,0.97947628978863
PPIA,0.0467448868956917,0.722843196687273
EGFR,-0.200907389558793,0.123749032332163
HGF,0.359769001335894,0.00475259268329224
PON1,0.0689705619786914,0.600536221987838
ASNS,-0.111848549991731,0.394866977783725
CYP3A4,-0.0976390410956415,0.457981281307729
ACHE,0.0125611042991498,0.924112401978715
PIK3CG,0.345160337174747,0.0069150016768962
AKR1B10,-0.0608535407627975,0.644165778238175
PRSS58,-0.0583027399461188,0.658136316854585
PRSS1,-0.181224936058013,0.165827096123987
EZH2,0.0760575389735945,0.563545237975756
KCNH2,0.0428110783757227,0.745342797247152
NOS3,-0.0514171539831162,0.696421430298893
CDK5,0.215206572992396,0.0986715674774898
LPL,0.225560330084324,0.08312456453571
CLU,0.0751297241697659,0.568326638343583
PLAT,0.0633641594919116,0.630533798950197
IKBKB,0.0975391960434878,0.458443389844226
NCOA2,-0.0504166686844858,0.702050352791433
CA2,0.0135519128689552,0.918146202122298
MYC,0.158790797817993,0.225581078018812
GPT,0.019365231593221,0.883241968730198
CDKN2A,-0.178809008344421,0.171638463760945
PAX5,0.00132041727602895,0.992011112180441
ALDH1A1,-0.162679432226057,0.21427564970746
ABCA1,0.0745715014153997,0.571212455262707
TXN,-0.180725748836997,0.167015884256223
PTGS1,0.139992750879163,0.286047524810839
PTGES,-0.125488511984672,0.339392763999072
ASS1,-0.0231985682544995,0.860341953833109
RXRA,3.43080898781318e-05,0.999792423241207
AKR1C1,-0.127760760552657,0.330649321469702
AKR1C2,-0.153358680952862,0.24205811516278
AKR1C3,-0.160105106334328,0.221714519708526
ZEB1,0.239726686084483,0.0650586543251097
ALOX5,-0.0756254426083341,0.565769653096316
MAPK8,0.0235632319008291,0.858169127004457
CDK1,-0.121625630480458,0.354584831597738
SIRT1,-0.0248549214909826,0.85048119108343
PLAU,0.0387097502449855,0.769027677744561
KAT6B,0.0672719589854431,0.609558388700251
PTEN,-0.148426918476789,0.257715454350552
ACTA2,0.0680710399067303,0.605306738250783
CYP2C19,0.137306941861916,0.29548412862783
CYP17A1,0.099926811686361,0.447462899490829
DUSP5,-0.118822015160752,0.365868621525471
HABP2,0.00611872685046972,0.962992348774873
CASP7,-0.0297798365432279,0.821301580485137
CTSD,-0.0296868563356013,0.821850384663372
IGF2,-0.0703616131533556,0.593191724783482
RRM1,-0.0458952193486961,0.727683941217263
LDHA,-0.0436711602324775,0.740404663356875
BDNF,0.0135609841660407,0.918091599110295
CAT,-0.123269582730679,0.34806904836938
F2,0.0841543759283322,0.522640770797361
RELA,0.0832362261828265,0.527203388574024
CST6,-0.272051266667594,0.0354823398920438
GSTP1,0.167257929807088,0.20148205055236
LRP5,-0.238075936738873,0.0669854922477521
CCND1,-0.155235038488377,0.236275933224633
INPPL1,0.107221858181573,0.414831767969367
NOX4,0.123069845748049,0.348856722545754
PGR,-0.140987827509991,0.282602237574005
YAP1,-0.230517989863758,0.0763991344386413
BIRC3,-0.0197559515216254,0.880903163807401
MMP7,-0.133516627109373,0.309142957177031
MMP8,0.0193030087293346,0.883614519731544
MMP1,0.0846000909871206,0.520432996682671
MMP3,0.189550846703363,0.146903715398977
CASP1,0.184392570965161,0.158427687071711
DRD2,0.219264347250119,0.0923290731317719
HTR3A,0.071556389623738,0.586915707886516
TAGLN,0.0802237726185821,0.542311014739724
TMPRSS4,-0.360861694188378,0.00461793072776001
CHEK1,-0.0966831772233239,0.462415696579085
ST14,-0.289855751912742,0.0246753655641688
PTPN6,0.101134725482071,0.441963750489782
LDHB,0.233198872738344,0.0729466330549461
CDK2,-0.00730687431053273,0.955812701058599
LRP1,0.0857017904008845,0.514996072483137
CDK4,0.248012373589059,0.0560493094937671
IFNG,0.281090878580423,0.0295859313762943
ALDH2,-0.19256468504044,0.140466151949707
PTPN11,-0.0799486865639339,0.543700986865652
BCL2L2,-0.270528154745202,0.0365660334794099
GZMB,-0.00873689427984832,0.947176163135438
NFKBIA,-0.00594120639063397,0.964065320836218
HIF1A,-0.0617842576188065,0.639098318788779
ESR2,-0.115102252012847,0.3811721538181
FOS,-0.149226992972762,0.255129968470119
AKT1,0.240143656805535,0.0645790562660592
PKM,0.156267306577593,0.23313578809212
CYP1A1,-0.10686396748654,0.416399940330588
CYP1A2,-0.136994292200104,0.296595665098607
PRSS21,-0.00865541619284809,0.947668093214894
PRKCB,0.269869209364793,0.0370433094665966
PRSS8,-0.297411413242053,0.0210120785373893
ITGAM,0.337614516718499,0.00833748571416804
MMP2,0.305720648260012,0.0175267352289856
CES1,0.0729774846403935,0.579490127298942
CTRL,0.40142179508551,0.00147864471067583
NQO1,-0.261238659338403,0.0437856073959048
HP,0.17524206703636,0.180487805075737
TRPV1,-0.168478316426335,0.198165493371854
SLC2A4,-0.170281228560821,0.193337295959769
TP53,0.0649333314773909,0.622075025558523
PFAS,0.385680840202512,0.00233989026854294
SHMT1,0.0627317511180424,0.633956316142708
NOS2,0.0434344214387475,0.741762862834752
SLC6A4,0.0132833370020243,0.919763014656838
NF1,0.0120504593811708,0.927188919203819
CCL4,0.211402760025964,0.104919925408275
GRB7,-0.366139035184751,0.00401380431308961
RARA,0.143696258943584,0.273364006477859
STAT3,0.0666686208146686,0.612777093160819
GFAP,0.208325646758156,0.110194832666412
COL1A1,0.0726783373561603,0.581049675348009
MPO,0.288483706225202,0.0253952906656892
PRKCA,-0.0363431591389453,0.782792278510574
TK1,0.148117004017721,0.258721699458715
BIRC5,0.226291245431233,0.0821046584028805
FASN,0.242701799586165,0.0616985422802153
SMAD2,0.0526337222673796,0.689598682887851
BCL2,0.217691901773644,0.0947479334570418
ELANE,0.309533353204189,0.0161005923817602
INSR,-0.0389838524918834,0.767437922935859
DNMT1,0.140471807713535,0.284385435576002
ICAM1,0.000791578966549486,0.995210679532026
GPI,0.17967450456039,0.169539742059279
HPN,-0.0889973208005559,0.498905805356346
AKT2,0.176762675036957,0.176675763031857
TGFB1,0.303556868931924,0.0183830629456915
CEACAM6,-0.252852197069376,0.0512732766071357
ERCC1,0.260476599232385,0.0444265357056489
FUT1,-0.256435872104649,0.0479550333679784
BAX,0.266812909618728,0.0393250343372412
POLD1,0.347646018529389,0.00649538320534905
KLK15,0.0150544483276344,0.909107279898487
KLK3,0.00534049618707405,0.967696602196081
KLK5,0.0130789171712251,0.92099382813742
KLK6,-0.358504658017645,0.00491271729151309
KLK7,-0.0576741510100136,0.661597215827086
KLK8,-0.180704392638932,0.167066881671949
KLK10,-0.228229854563891,0.0794473847489322
KLK11,-0.217378688575132,0.0952355958705764
KLK13,0.115266827555503,0.380487088680944
CDC25B,0.147899257220595,0.259430274050489
PCNA,-0.0222766907657956,0.865839464672881
BCL2L1,-0.256340959762148,0.0480405925995348
EIF6,-0.044949611583343,0.733083739423056
SRC,-0.112648014738753,0.391475470719922
MYBL2,0.27965115791756,0.0304659950778618
