Ingredient_id,Ingredient_name,Paper.id,Target.id,Target.name,PubMed.id,Database.sources
HBIN021795,cryptotanshinone,HBREF000434,HBTAR002381,SMAD2,31181334,
HBIN021795,cryptotanshinone,HBREF000434,HBTAR003928,STAT3,31181334,
HBIN021795,cryptotanshinone,HBREF000434,HBTAR004072,TGFB1,31181334,
HBIN021795,cryptotanshinone,HBREF000435,HBTAR005600,DNM1L,30691497,
HBIN021795,cryptotanshinone,HBREF000435,HBTAR000351,BAX,30691497,
HBIN021795,cryptotanshinone,HBREF000436,HBTAR011473,GLIS3,29858052,
HBIN021795,cryptotanshinone,HBREF000436,HBTAR002864,PAX5,29858052,
HBIN021795,cryptotanshinone,HBREF000437,HBTAR001544,GFAP,29158049,
HBIN021795,cryptotanshinone,HBREF000437,HBTAR002737,NOS2,29158049,
HBIN021795,cryptotanshinone,HBREF000437,HBTAR003295,PTGS2,29158049,
HBIN021795,cryptotanshinone,HBREF000437,HBTAR003603,S100B,29158049,
HBIN021795,cryptotanshinone,HBREF000438,HBTAR003928,STAT3,28492557,
HBIN021795,cryptotanshinone,HBREF000438,HBTAR003313,PTPN11,28492557,
HBIN021795,cryptotanshinone,HBREF000439,HBTAR003434,RELA,26564229,
HBIN021795,cryptotanshinone,HBREF000439,HBTAR002040,IKBKB,26564229,
HBIN021795,cryptotanshinone,HBREF000439,HBTAR002705,NFKB1,26564229,
HBIN021795,cryptotanshinone,HBREF000439,HBTAR000521,CASP7,26564229,
HBIN021795,cryptotanshinone,HBREF000439,HBTAR000517,CASP3,26564229,
HBIN021795,cryptotanshinone,HBREF000439,HBTAR000523,CASP9,26564229,
HBIN021795,cryptotanshinone,HBREF000440,HBTAR002512,MMP9,25572313,
HBIN021795,cryptotanshinone,HBREF000440,HBTAR002705,NFKB1,25572313,
HBIN021795,cryptotanshinone,HBREF000440,HBTAR007420,NOX4,25572313,
HBIN021795,cryptotanshinone,HBREF000440,HBTAR002805,OLR1,25572313,
HBIN021795,cryptotanshinone,HBREF000441,HBTAR000973,CYP17A1,24973798,
HBIN021795,cryptotanshinone,HBREF000441,HBTAR000131,AKT2,24973798,
HBIN021795,cryptotanshinone,HBREF000442,HBTAR000148,AR,22154085,
HBIN045503,tanshinone Ⅵ,,HBTAR000233,AR,,
HBIN045503,tanshinone Ⅵ,,HBTAR000492,CALM3,,
HBIN045503,tanshinone Ⅵ,,HBTAR001277,ESR1,,
HBIN045503,tanshinone Ⅵ,,HBTAR002031,IGHG1,,
HBIN045503,tanshinone Ⅵ,,HBTAR003294,PTGS1,,
HBIN045503,tanshinone Ⅵ,,HBTAR003295,PTGS2,,
HBIN045503,tanshinone Ⅵ,,HBTAR003629,SCN5A,,
HBIN045503,tanshinone Ⅵ,,HBTAR004789,NCOA1,,
HBIN045503,tanshinone Ⅵ,,HBTAR005869,NCOA2,,
HBIN045503,tanshinone Ⅵ,,HBTAR000031,ACHE,,
HBIN045503,tanshinone Ⅵ,,HBTAR003005,PIM1,,
HBIN045503,tanshinone Ⅵ,,HBTAR000233,AR,,
HBIN045503,tanshinone Ⅵ,,HBTAR000634,CDK2,,
HBIN045503,tanshinone Ⅵ,,HBTAR004789,NCOA1,,
