cid,syno
124416,Trijuganone B
124416,126979-84-8
124416,"1,2,15,16-Tetrahydrotanshiquinone"
124416,"1,6-dimethyl-1,2,8,9-tetrahydronaphtho[1,2-g][1]benzofuran-10,11-dione"
124416,"1,2,8,9-Tetrahydro-1,6-dimethylphenantrho(1,2-b)furan-10,11-dione"
124416,DTXSID70925751
124416,"1,2,8,9-Tetrahydro-1,6-dimethylphenanthro[1,2-b]furan-10,11-dione"
124416,"1,6-Dimethyl-1,2,8,9-tetrahydrophenanthro[1,2-b]furan-10,11-dione"
124416,"1,6-dimethyl-1H,2H,8H,9H,10H,11H-phenanthro[1,2-b]furan-10,11-dione"
124416,"Phenantrho(1,2-b)furan-10,11-dione, 1,2,8,9-tetrahydro-1,6-dimethyl-"
11425923,Dihydrotanshinone I
11425923,87205-99-0
11425923,"15,16-dihydrotanshinone I"
11425923,DihydrotanshinoneI
11425923,(-)-Dihydrotanshinone I
11425923,Dihydrotanshinone-I
11425923,"Tanshinone I, dihydro-"
11425923,HSDB 8105
11425923,UNII-562G9360V6
11425923,562G9360V6
11425923,DTXSID20236187
11425923,"(1R)-1,6-dimethyl-1,2-dihydronaphtho[1,2-g][1]benzofuran-10,11-dione"
11425923,"DIHYDROTANSHINONE I, (-)-"
11425923,DIHYDROTANSHINONE
11425923,"PHENANTHRO(1,2-B)FURAN-10,11-DIONE, 1,2-DIHYDRO-1,6-DIMETHYL-, (1R)-"
11425923,SR-05000002191
11425923,"15,16-dihydrotanshinone-I"
11425923,DHTS
11425923,'Dihydrotanshinone I'
11425923,4m0e
11425923,CHEMBL227075
11425923,SCHEMBL13049977
11425923,DTXCID20158678
11425923,CHEBI:149872
11425923,HARGZZNYNSYSGJ-JTQLQIEISA-N
11425923,HY-N0360
11425923,"(1R)-1,6-Dimethyl-1,2-dihydrophenanthro(1,2-b)furan-10,11-dione"
11425923,BDBM50423877
11425923,MFCD28016070
11425923,s9020
11425923,AKOS032962078
11425923,CCG-208567
11425923,"Dihydrotanshinone I, >=98% (HPLC)"
11425923,NCGC00163651-01
11425923,NCGC00163651-06
11425923,D5379
11425923,A862726
11425923,SR-05000002191-2
11425923,SR-05000002191-3
11425923,Q21099654
11425923,DIHYDROTANSHINONE (CONSTITUENT OF CHINESE SALVIA)
11425923,DIHYDROTANSHINONE (CONSTITUENT OF CHINESE SALVIA) [DSC]
11425923,"(R)-1,6-dimethyl-1,2-dihydrophenanthro[1,2-b]furan-10,11-dione"
11425923,"'(1R)-1,6-dimethyl-1,2-dihydrophenanthro[1,2-b]furan-10,11-dione'"
11425923,"(-)-1,2-Dihydro-1,6-dimethylphenanthro[1,2-b]furan-10,11-dione;1,6-Dimethyl-1,2,10,11-tetrahydrophenanthro[1,2-b]furan-10,11-dione;4,17-Dimethyl-15-oxagona-1,3,5(10),6,8,13-hexene-11,12-dione;15,16-Dihydrotanshine I;1,6-DiMethyl-1,2-dihydrophenanthro[1,2-b]furan-10,11-dione"
1201518,(-)-Borneol
1201518,L-Borneol
1201518,464-45-9
1201518,Borneol
1201518,Linderol
1201518,NGAI camphor
1201518,l-2-Camphanol
1201518,l-2-Bornanol
1201518,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S,2R,4S)-"
1201518,"Borneol, (-)-"
