"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
".beta.-Myrcene","NA","NA","NA","NA","NA","0"
"1-Butanol","1-Butanol","HMDB0004327","263","C06142","CCCCO","1"
"1-Hexanol","1-Hexanol","HMDB0012971","8103","C00854","CCCCCCO","1"
"1-Pentanol","1-Pentanol","HMDB0013036","6276","C16834","CCCCCO","1"
"1-Propanamine, N,2-dimethyl-","NA","NA","NA","NA","NA","0"
"1H-Indole, 4-methyl-","NA","NA","NA","NA","NA","0"
"2,3-Butanedione","Diacetyl","HMDB0003407","650","C00741","CC(=O)C(=O)C","1"
"2,3-Pentanedione","2,3-Pentanedione","HMDB0031598","11747",NA,"CCC(=O)C(=O)C","1"
"2,6-Dimethyl 4 heptanone","NA","NA","NA","NA","NA","0"
"2-Butanol, 3-methyl-","NA","NA","NA","NA","NA","0"
"2-Butanone","Butanone","HMDB0000474","6569","C02845","CCC(=O)C","1"
"2-Butenal","(E)-2-Butenal","HMDB0034233","643950","C19377","C/C=C\C=O","1"
"2-Butenal, 2-methyl-","NA","NA","NA","NA","NA","0"
"2-Heptanone","2-Heptanone","HMDB0003671","8051","C08380","CCCCCC(=O)C","1"
"2-Hexanol","NA","NA","NA","NA","NA","0"
"2-Hexanone","2-Oxohexane","HMDB0005842","11583",NA,"CCCCC(=O)C","1"
"2-Methyl-3-pentanol","NA","NA","NA","NA","NA","0"
"2-Nonanone","2-Nonanone","HMDB0031266","13187",NA,"CCCCCCCC(=O)C","1"
"2-Octanone","2-Octanone","HMDB0031294","8093",NA,"CCCCCCC(C)=O","1"
"2-Pentanone","2-Pentanone","HMDB0034235","7895","C01949","CCCC(=O)C","1"
"2-Propanamine","NA","NA","NA","NA","NA","0"
"3-Carene","alpha-Carene","HMDB0035619","26049",NA,"CC1=CCC2C(C1)C2(C)C","1"
"3-Methyl Indole","NA","NA","NA","NA","NA","0"
"3-Methyl-2-butanone","NA","NA","NA","NA","NA","0"
"3-Methylbutanal","Iso-Valeraldehyde","HMDB0006478","11552","C07329","CC(C)CC=O","1"
"3-hexanone","3-Hexanone","HMDB0000753","11509",NA,"CCCC(=O)CC","1"
"5-Methyl-2-heptanone","NA","NA","NA","NA","NA","0"
"6-Methyl-2-heptanone","NA","NA","NA","NA","NA","0"
"6-Methyl-3,5-heptadiene-2-one","6-Methyl-3,5-heptadien-2-one","HMDB0031582","12510894",NA,"CC(=C/C=C\C(=O)C)C","1"
"6-Methyl-5-hepten-2-one","Sulcatone","HMDB0035915","9862","C07287","CC(=CCCC(=O)C)C","1"
