query (Name + Affiliation)	Author	Documents	h.index	Affiliation	City	Country.Territory
Papanas, N#University College London	Papanas, Nikolaos P.	492	45	Democritus University of Thrace	Komotini	Greece
Khan, S#King Abdulaziz University	Khan, Sher Bahadar	434	70	King Abdulaziz University	Jeddah	Saudi Arabia
Sharma, R#Royal Brompton & Harefield NHS Foundation Trust	Sharma, Rakesh	75	28	Royal Brompton & Harefield NHS Foundation Trust	London	United Kingdom
Kriechbaum, S D#Justus Liebig University Giessen	Kriechbaum, Steffen Daniel	46	11	Deutsches Zentrum fÃ¼r Herz-Kreislauf-Forschung e. V.	Berlin	Germany
Whitson, B A#Ohio State University	Whitson, Bryan A.	284	36	The Ohio State University Wexner Medical Center	Columbus	United States
Loi, M M#University of Colorado Anschutz Medical Campus	Loi, Michele M.	15	6	University of Colorado School of Medicine	Aurora	United States
Mazza, G A#A.O.U. Citta della Salute e della Scienza di Torino	Mazza, Giuseppe A.	19	5	Azienda Ospedaliera - Universitaria CittÃ  della Salute e della Scienza di Torino	Turin	Italy
Nickel, N P#Cleveland Clinic Foundation	NA	NA	NA	NA	NA	NA
Peters, E L#University of Amsterdam	Peters, Eva L.	8	5	The University of Arizona	Tucson	United States
Pimenta, D A#Hospital de Braga	Pimenta, Diana Alexandra GonÃ§alves	5	1	Hospital de Braga	Braga	Portugal
Gauchotte, G#CHU de Nancy	Gauchotte, Guillaume	127	27	CHU de Nancy	Nancy	France
Tepavcevic, A#University of Novi Sad	Tepavcevic, Andreja P.	117	14	MatematiÄki Institut SANU	Belgrade	Serbia
Hassoun, P M#Hokkaido University	NA	NA	NA	NA	NA	NA
Ghio, S#IRCCS Fondazione San Matteo	Ghio, Stefano	276	59	Fondazione IRCCS Policlinico San Matteo	Pavia	Italy
Shaha, K B#	Shaha, Kunal Bikram	2	2	Patan Academy of Health Sciences	Lalitpur	Nepal
Insel, P A#University of Arizona	NA	NA	NA	NA	NA	NA
Iskratsch, T#Queen Mary University London	Iskratsch, Thomas	43	20	Queen Mary University of London	London	United Kingdom
Iskratsch, T#Queen Mary University London	Iskratsch, Thomas	43	20	Queen Mary University of London	London	United Kingdom
Synn, A J#Beth Israel Deaconess Medical Center	Synn, Andrew J.	17	5	Beth Israel Deaconess Medical Center	Boston	United States
Amiya, E#University of Tokyo	Amiya, Eisuke	137	18	The University of Tokyo	Tokyo	Japan
Valdez-Jasso, D#University of California San Diego	Valdez-Jasso, Daniela	33	12	Department of Bioengineering	San Diego	United States
Chien, C Y#National Yang Ming Chiao Tung University	Chang Chien, Cheng Yu	1	1	National Yang Ming Chiao Tung University	Hsinchu	Taiwan
Yuan, J X J#University of California San Diego	Yuan, Jason Xiao Jian	303	73	Department of Medicine	San Diego	United States
Node, K#Saga University	Node, Koichi	628	63	Saga University	Saga	Japan
Yasmeen, R#	Yasmeen, Rizwana	47	16	Panzhihua University	Panzhihua	China
Yildiz, N#Marmara University	Yildiz, Nurdan	57	13	Marmara Ãniversitesi Tip FakÃ¼ltesi	Istanbul	Turkey
Akashi, Y J#Saint Marianna University	Akashi, Yoshihiro Johnny	315	33	St. Marianna University School of Medicine	Kawasaki	Japan
Wang, X A#University of Pittsburgh	Wang, Allen X.	2	2	University of Pittsburgh	Pittsburgh	United States
Sullivan, P M#Children's Hospital Los Angeles	Pepe, Margaret Sullivan	212	74	Fred Hutchinson Cancer Center	Seattle	United States
Miki, K#	Miki, Kunio	297	48	Graduate School of Science	Kyoto	Japan
Pereira, M C#Universidade Federal Rural de Pernambuco	Pereira, Michelly Cristiny	65	15	Universidade Federal de Pernambuco	Recife	Brazil
Neder, J A#Universidade Federal do Rio Grande do Sul	Neder, JosÃ© Alberto	295	48	Queenâs University	Kingston	Canada
Soar, J#Macquarie University	NA	NA	NA	NA	NA	NA
Liao, C C#China Medical University Taiwan	Lai, Chao-Sung	347	35	Chang Gung University	Taoyuan	Taiwan
Gonçalves-Pereira, J C#Universidade de Lisboa	GonÃ§alves-Pereira, JoÃ£o C.	33	13	Grupo de InvestigaÃ§Ã£o e Desenvolvimento em InfeÃ§Ã£o e Sepsis	Porto	Portugal
Opatril, L#Masaryk University Brno	OpatÅil, LukÃ¡Å¡	16	4	FakultnÃ­ Nemocnice u Sv. Anny v BrnÄ	Brno	Czech Republic
Ray, A#All India Institute of Medical Sciences	Ray, Animesh	137	11	All India Institute of Medical Sciences, New Delhi	New Delhi	India
Gao, C Y#Zhengzhou University	Gao, Chuanyu	188	24	Zhengzhou University	Zhengzhou	China
Geerdes-Fenge, H F#University of Rostock	Geerdes-Fenge, Hilte F.	52	10	UniversitÃ¤t Rostock Uniklinikum und Medizinische FakultÃ¤t	Rostock	Germany
Kashanchi, F#United States Army	NA	NA	NA	NA	NA	NA
Kao, C H#China Medical University Hospital - Taiwan	Kao, Chiahung	1107	56	China Medical University	Taichung	Taiwan
Jacob, D#University of Missouri Columbia	Jacob, Dain W.	13	5	University of Missouri	Columbia	United States
Rapp, J B#University of Pennsylvania	Rapp, Jordan B.	33	9	The Children's Hospital of Philadelphia	Philadelphia	United States
Yang, X Q#Army Medical University	Yang, Xiqiang	106	21	Chongqing Medical University	Chongqing	China
Birdwell, K A#University of California San Francisco	NA	NA	NA	NA	NA	NA
Pipek, L Z#Universidade de Sao Paulo	Pipek, Leonardo Zumerkorn	34	5	Universidade de SÃ£o Paulo	Sao Paulo	Brazil
