Gut Microbiota	Gut Microbiata NCBI ID	Gut Microbiota ID	Classification	Substrate	Substrate PubChem CID	Substrate  HMDB ID	Substrate ChEBI ID	Metabolite	Metabolite PubChem CID	Metabolite HMDB ID	Metabolite ChEBI ID
Christensenella minuta YIT 12065T		gm0883	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	Acetate	175		CHEBI:30089
Christensenella minuta YIT 12065T		gm0883	strain	Salicin	439503	HMDB0003546	CHEBI:17814	Acetate	175		CHEBI:30089
Christensenella minuta YIT 12065T		gm0883	strain	D-Xylose	135191	HMDB0000098	CHEBI:53455	Acetate	175		CHEBI:30089
Christensenella minuta YIT 12065T		gm0883	strain	L-Arabinose	439195	HMDB0000646	CHEBI:17535	Acetate	175		CHEBI:30089
Christensenella minuta YIT 12065T		gm0883	strain	L-Rhamnose	25310	HMDB0012305	CHEBI:62346	Acetate	175		CHEBI:30089
Christensenella minuta YIT 12065T		gm0883	strain	D-Mannose	18950	HMDB0000169	CHEBI:4208	Acetate	175		CHEBI:30089
Christensenella minuta YIT 12065T		gm0883	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	Butyrate	104775		CHEBI:17968
Christensenella minuta YIT 12065T		gm0883	strain	Salicin	439503	HMDB0003546	CHEBI:17814	Butyrate	104775		CHEBI:17968
Christensenella minuta YIT 12065T		gm0883	strain	D-Xylose	135191	HMDB0000098	CHEBI:53455	Butyrate	104775		CHEBI:17968
Christensenella minuta YIT 12065T		gm0883	strain	L-Arabinose	439195	HMDB0000646	CHEBI:17535	Butyrate	104775		CHEBI:17968
Christensenella minuta YIT 12065T		gm0883	strain	L-Rhamnose	25310	HMDB0012305	CHEBI:62346	Butyrate	104775		CHEBI:17968
Christensenella minuta YIT 12065T		gm0883	strain	D-Mannose	18950	HMDB0000169	CHEBI:4208	Butyrate	104775		CHEBI:17968
Enterococcus sp. 45	1343173	gm0884	species	Orientin	5281675	HMDB0030614	CHEBI:7781	Luteolin	5280445	HMDB0005800	CHEBI:15864
Clostridium scindens VPI 12708	29347	gm0885	strain	Bile acid	439520		CHEBI:22868	Deoxycholic acid	222528	HMDB0000626	CHEBI:28834
Clostridium scindens VPI 12708	29347	gm0885	strain	Cholic acid	221493	HMDB0000619	CHEBI:16359	Deoxycholic acid	222528	HMDB0000626	CHEBI:28834
Clostridium scindens VPI 12708	29347	gm0885	strain	Chenodeoxycholic acid	10133	HMDB0000518	CHEBI:16755	Deoxycholic acid	222528	HMDB0000626	CHEBI:28834
