Mol ID	Molecule name	Molecule name.link	MW	AlogP	HDon	HAcc	OB (%)	Caco-2	BBB	DL	FASA-	HL
MOL000001	anthocyanidin	https://tcmsp-e.com/molecule.php?qn=1	251.22	1.51	2	4	45.60	-3.14	-3.14	0.19	0.32	1.83
MOL000002	cyanidol	https://tcmsp-e.com/molecule.php?qn=2	287.26	1.67	5	6	1.36	0.17	-0.51	0.24	0.34	
MOL000003	MTL	https://tcmsp-e.com/molecule.php?qn=3	182.20	-2.94	6	6	17.73	-1.58	-4.07	0.03	0.18	
MOL000004	Procyanidin B1	https://tcmsp-e.com/molecule.php?qn=4	578.56	3.36	10	12	67.87	-0.98	-1.97	0.66	0.32	3.30
MOL000005	(2R,3R,4R)-4-[(2R,3R)-2-(3,5-dihydroxy-4-methoxyphenyl)-3,5,7-trihydroxychroman-8-yl]-2-(4-hydroxyphenyl)chroman-3,5,7-triol	https://tcmsp-e.com/molecule.php?qn=5	592.59	3.61	9	12	40.11	-0.90	-2.17	0.61	0.31	2.66
MOL000006	luteolin	https://tcmsp-e.com/molecule.php?qn=6	286.25	2.07	4	6	36.16	0.19	-0.84	0.25	0.39	15.94
MOL000007	Cosmetin	https://tcmsp-e.com/molecule.php?qn=7	432.41	0.43	6	10	9.68	-1.08	-2.26	0.74	0.32	
MOL000008	apigenin	https://tcmsp-e.com/molecule.php?qn=8	270.25	2.33	3	5	23.06	0.43	-0.61	0.21	0.41	
MOL000009	luteolin-7-o-glucoside	https://tcmsp-e.com/molecule.php?qn=9	448.41	0.16	7	11	7.29	-1.23	-2.49	0.78	0.32	
MOL000010	Rhoifolin	https://tcmsp-e.com/molecule.php?qn=10	578.57	-0.43	8	14	6.68	-1.87	-2.98	0.77	0.29	
MOL000011	(2R,3R)-3-(4-hydroxy-3-methoxy-phenyl)-5-methoxy-2-methylol-2,3-dihydropyrano[5,6-h][1,4]benzodioxin-9-one	https://tcmsp-e.com/molecule.php?qn=11	386.38	2.49	2	8	68.83	0.21	-0.53	0.66	0.26	3.39
MOL000012	Arachic acid	https://tcmsp-e.com/molecule.php?qn=12	312.60	8.19	1	2	16.66	1.18	1.09	0.19	0.18	
MOL000013	glucocapparin	https://tcmsp-e.com/molecule.php?qn=13	332.39	-2.56	5	9	1.36	-1.77	-2.93	0.15	0.23	
MOL000014	glucobrassicin	https://tcmsp-e.com/molecule.php?qn=14	430.48	-1.16	6	10	53.64	-1.29	-1.94	0.48	0.17	4.19
MOL000015	glucoiberin(e)	https://tcmsp-e.com/molecule.php?qn=15	423.54	-2.33	5	11	5.49	-2.30	-4.05	0.25	0.26	
