Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"CDH1","Cadherin 1","Protein Coding","P12830","56","GC16P068737","379.160034179688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","P51587","54","GC13P032315","303.491790771484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","P38398","57","GC17M043044","290.747344970703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"TP53","Tumor Protein P53","Protein Coding","P04637","60","GC17M007661","233.145599365234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"APC","APC Regulator Of WNT Signaling Pathway","Protein Coding","P25054","56","GC05P112707","217.890380859375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC"
"CHEK2","Checkpoint Kinase 2","Protein Coding","O96017","61","GC22M028687","204.0673828125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"PALB2","Partner And Localizer Of BRCA2","Protein Coding","Q86YC2","51","GC16M023603","203.972854614258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALB2"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","60","GC11P108222","190.800674438477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"MLH1","MutL Homolog 1","Protein Coding","P40692","56","GC03P036993","182.054626464844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1"
"BRIP1","BRCA1 Interacting Helicase 1","Protein Coding","Q9BX63","56","GC17M061679","179.909149169922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRIP1"
"MSH6","MutS Homolog 6","Protein Coding","P52701","56","GC02P047695","178.939483642578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6"
"MSH2","MutS Homolog 2","Protein Coding","P43246","56","GC02P047403","178.123764038086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2"
