components,Gene.Symbol,Description,Category,Uniprot.ID,Gifts,GC.Id,Relevance.score,GeneCards.Link
(-)-Epicedrol,ACHE,Acetylcholinesterase (Cartwright Blood Group),Protein Coding,P22303,53,GC07M100889,8.06687164306641,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACHE
(-)-Epicedrol,DPP4,Dipeptidyl Peptidase 4,Protein Coding,P27487,56,GC02M161992,16.5563316345215,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4
(-)-beta-Phellandrene,ACHE,Acetylcholinesterase (Cartwright Blood Group),Protein Coding,P22303,53,GC07M100889,8.06687164306641,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACHE
(-)-beta-Phellandrene,DPP4,Dipeptidyl Peptidase 4,Protein Coding,P27487,56,GC02M161992,16.5563316345215,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4
(-)-beta-Phellandrene,NR3C1,Nuclear Receptor Subfamily 3 Group C Member 1,Protein Coding,P04150,56,GC05M143277,14.93212890625,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1
(-)-beta-Phellandrene,PRSS1,Serine Protease 1,Protein Coding,P07477,52,GC07P152152,20.8611793518066,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRSS1
"(1R,4R,5S)-1-isopropyl-4-methyl-4-bicyclo[3.1.0]hexanol",ACHE,Acetylcholinesterase (Cartwright Blood Group),Protein Coding,P22303,53,GC07M100889,8.06687164306641,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACHE
"(1R,4R,5S)-1-isopropyl-4-methyl-4-bicyclo[3.1.0]hexanol",DPP4,Dipeptidyl Peptidase 4,Protein Coding,P27487,56,GC02M161992,16.5563316345215,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4
"(1R,4S,4aR,8aR)-4-isopropyl-1,6-dimethyl-3,4,4a,7,8,8a-hexahydro-2H-naphthalen-1-ol",ACHE,Acetylcholinesterase (Cartwright Blood Group),Protein Coding,P22303,53,GC07M100889,8.06687164306641,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACHE
"(1R,4S,4aR,8aR)-4-isopropyl-1,6-dimethyl-3,4,4a,7,8,8a-hexahydro-2H-naphthalen-1-ol",AR,Androgen Receptor,Protein Coding,P10275,58,GC0XP067544,64.6021728515625,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR
