Target_id	Tax_id	Gene_id	Gene_name	Gene_alias	Db_xrefs	Chromosome	Map_location	Description	Type_of_gene	TTD_target_id	TTD_target_type
HBTAR000001	9606	1	A1BG	A1B; ABG; GAB; HYST2477	OMIM:138670; HGNC:HGNC:5; Ensembl:ENSG00000121410	19	19q13.43	alpha-1-B glycoprotein	protein-coding	NA	/
HBTAR000002	9606	2	A2M	A2MD; CPAMD5; FWP007; S863-7	OMIM:103950; HGNC:HGNC:7; Ensembl:ENSG00000175899	12	12p13.31	alpha-2-macroglobulin	protein-coding	NA	/
HBTAR000003	9606	9	NAT1	AAC1; MNAT; NAT-1; NATI	OMIM:108345; HGNC:HGNC:7645; Ensembl:ENSG00000171428	8	8p22	N-acetyltransferase 1	protein-coding	NA	/
HBTAR000004	9606	10	NAT2	AAC2; NAT-2; PNAT	OMIM:612182; HGNC:HGNC:7646; Ensembl:ENSG00000156006	8	8p22	N-acetyltransferase 2	protein-coding	NA	/
HBTAR000005	9606	12	SERPINA3	AACT; ACT; GIG24; GIG25	OMIM:107280; HGNC:HGNC:16; Ensembl:ENSG00000196136	14	14q32.13	serpin family A member 3	protein-coding	NA	/
HBTAR000006	9606	13	AADAC	CES5A1; DAC	OMIM:600338; HGNC:HGNC:17; Ensembl:ENSG00000114771	3	3q25.1	arylacetamide deacetylase	protein-coding	NA	/
HBTAR000007	9606	14	AAMP	-	OMIM:603488; HGNC:HGNC:18; Ensembl:ENSG00000127837	2	2q35	angio associated migratory cell protein	protein-coding	NA	/
HBTAR000008	9606	15	AANAT	DSPS; SNAT	OMIM:600950; HGNC:HGNC:19; Ensembl:ENSG00000129673	17	17q25.1	aralkylamine N-acetyltransferase	protein-coding	NA	/
HBTAR000009	9606	16	AARS1	AARS; CMT2N; EIEE29	OMIM:601065; HGNC:HGNC:20; Ensembl:ENSG00000090861	16	16q22.1	alanyl-tRNA synthetase 1	protein-coding	NA	/
HBTAR000010	9606	18	ABAT	GABA-AT; GABAT; NPD009	OMIM:137150; HGNC:HGNC:23; Ensembl:ENSG00000183044	16	16p13.2	4-aminobutyrate aminotransferase	protein-coding	T59045	Successful target
HBTAR000011	9606	19	ABCA1	ABC-1; ABC1; CERP; HDLCQTL13; HDLDT1; HPALP1; TGD	OMIM:600046; HGNC:HGNC:29; Ensembl:ENSG00000165029	9	9q31.1	ATP binding cassette subfamily A member 1	protein-coding	T00494	Successful target
HBTAR000012	9606	20	ABCA2	ABC2; IDPOGSA	OMIM:600047; HGNC:HGNC:32; Ensembl:ENSG00000107331	9	9q34.3	ATP binding cassette subfamily A member 2	protein-coding	NA	/
HBTAR000013	9606	21	ABCA3	ABC-C; ABC3; EST111653; LBM180; SMDP3	OMIM:601615; HGNC:HGNC:33; Ensembl:ENSG00000167972	16	16p13.3	ATP binding cassette subfamily A member 3	protein-coding	NA	/
HBTAR000014	9606	22	ABCB7	ABC7; ASAT; Atm1p; EST140535	OMIM:300135; HGNC:HGNC:48; Ensembl:ENSG00000131269	X	Xq13.3	ATP binding cassette subfamily B member 7	protein-coding	NA	/
HBTAR000015	9606	23	ABCF1	ABC27; ABC50	OMIM:603429; HGNC:HGNC:70; Ensembl:ENSG00000204574	6	6p21.33	ATP binding cassette subfamily F member 1	protein-coding	NA	/
HBTAR000016	9606	24	ABCA4	ABC10; ABCR; ARMD2; CORD3; FFM; RMP; RP19; STGD; STGD1	OMIM:601691; HGNC:HGNC:34; Ensembl:ENSG00000198691	1	1p22.1	ATP binding cassette subfamily A member 4	protein-coding	T49327	Clinical Trial target
HBTAR000017	9606	25	ABL1	ABL; BCR-ABL; CHDSKM; JTK7; bcr/abl; c-ABL; c-ABL1; p150; v-abl	OMIM:189980; HGNC:HGNC:76; Ensembl:ENSG00000097007	9	9q34.12	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	protein-coding	T89747	Discontinued target
HBTAR000018	9606	27	ABL2	ABLL; ARG	OMIM:164690; HGNC:HGNC:77; Ensembl:ENSG00000143322	1	1q25.2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	protein-coding	T83009	Research target
HBTAR000019	9606	29	ABR	MDB	OMIM:600365; HGNC:HGNC:81; Ensembl:ENSG00000159842	17	17p13.3	ABR activator of RhoGEF and GTPase	protein-coding	NA	/
HBTAR000020	9606	30	ACAA1	ACAA; PTHIO; THIO	OMIM:604054; HGNC:HGNC:82; Ensembl:ENSG00000060971	3	3p22.2	acetyl-CoA acyltransferase 1	protein-coding	NA	/
HBTAR000021	9606	31	ACACA	ACAC; ACACAD; ACC; ACC1; ACCA	OMIM:200350; HGNC:HGNC:84; Ensembl:ENSG00000278540	17	17q12	acetyl-CoA carboxylase alpha	protein-coding	NA	/
HBTAR000022	9606	32	ACACB	ACC2; ACCB; HACC275	OMIM:601557; HGNC:HGNC:85; Ensembl:ENSG00000076555	12	12q24.11	acetyl-CoA carboxylase beta	protein-coding	T08922	Successful target
HBTAR000023	9606	34	ACADM	ACAD1; MCAD; MCADH	OMIM:607008; HGNC:HGNC:89; Ensembl:ENSG00000117054	1	1p31.1	acyl-CoA dehydrogenase medium chain	protein-coding	NA	/
HBTAR000024	9606	35	ACADS	ACAD3; SCAD	OMIM:606885; HGNC:HGNC:90; Ensembl:ENSG00000122971	12	12q24.31	acyl-CoA dehydrogenase short chain	protein-coding	NA	/
HBTAR000025	9606	36	ACADSB	2-MEBCAD; ACAD7; SBCAD	OMIM:600301; HGNC:HGNC:91; Ensembl:ENSG00000196177	10	10q26.13	acyl-CoA dehydrogenase short/branched chain	protein-coding	NA	/
HBTAR000026	9606	37	ACADVL	ACAD6; LCACD; VLCAD	OMIM:609575; HGNC:HGNC:92; Ensembl:ENSG00000072778	17	17p13.1	acyl-CoA dehydrogenase very long chain	protein-coding	NA	/
HBTAR000027	9606	38	ACAT1	ACAT; MAT; T2; THIL	OMIM:607809; HGNC:HGNC:93; Ensembl:ENSG00000075239	11	11q22.3	acetyl-CoA acetyltransferase 1	protein-coding	T11487	Clinical Trial target
HBTAR000028	9606	39	ACAT2	-	OMIM:100678; HGNC:HGNC:94; Ensembl:ENSG00000120437	6	6q25.3	acetyl-CoA acetyltransferase 2	protein-coding	NA	/
HBTAR000029	9606	40	ASIC2	ACCN; ACCN1; ASIC2a; BNC1; BNaC1; MDEG; hBNaC1	OMIM:601784; HGNC:HGNC:99; Ensembl:ENSG00000108684	17	17q11.2-q12	acid sensing ion channel subunit 2	protein-coding	T86541	Research target
HBTAR000030	9606	41	ASIC1	ACCN2; ASIC; BNaC2	OMIM:602866; HGNC:HGNC:100; Ensembl:ENSG00000110881	12	12q13.12	acid sensing ion channel subunit 1	protein-coding	T55094	Successful target
HBTAR000031	9606	43	ACHE	ACEE; ARACHE; N-ACHE; YT	OMIM:100740; HGNC:HGNC:108; Ensembl:ENSG00000087085	7	7q22.1	acetylcholinesterase (Cartwright blood group)	protein-coding	T30082	Successful target
HBTAR000032	9606	47	ACLY	ACL; ATPCL; CLATP	OMIM:108728; HGNC:HGNC:115; Ensembl:ENSG00000131473	17	17q21.2	ATP citrate lyase	protein-coding	T52189	Research target
