Seq,Name
1,网络药理学
2,挖掘 HERB 数据库
3,获取疾病或条件相关的基因集:Genecards
4,构建 PPI 网络
5,KEGG、GO富集分析
6,全自动批量分子对接
7,单细胞注释细胞群
8,单细胞拟时分析
9,是否昼夜节律紊乱预测:rna
10,单细胞细胞通讯
11,TCGA 数据挖掘和常规分析
12,生存分析
13,WGCNA 共表达分析
14,构建 LASSO 等预测模型
15,从头开始的 RNA-seq 数据分析:从fastq开始质控、注释等
16,RNA-seq 差异分析
17,基因注释、信息获取
18,RBP 预测:RNA 结合蛋白与 RNA 的结合
19,常规 16s RNA 肠道菌数据分析:alpha多样性+beta多样性+biomarker筛选等
20,肠道菌数据和代谢物数据联合分析:通过公共数据挖掘建立联系
21,从公共数据库挖掘可用的 16s RNA 肠道菌群数据
22,从公共数据库挖掘可用的代谢物数据
23,代谢物富集分析
24,从头开始的WES数据分析:从fastq开始质控、注释等
25,WES 变异筛选
26,从 GEO 挖掘可用数据:RNA-seq
27,Pathview 可视化富集通路
28,制作特定功能的 R 包
29,蛋白质 pdb 数据获取用于可视化
30,蛋白质信息获取
31,单细胞数据鉴定癌细胞
32,不同来源的 scRNA-seq 数据整合:RISC整合消除批次效应
33,富集分析
34,差异分析
35,蛋白质或基因和代谢物数据联合分析:通过公共数据挖掘建立联系
36,铁死亡相关基因挖掘
37,GSEA 富集分析
38,空间转录组常规分析:大致同单细胞数据
39,细胞注释
40,拟时分析
41,以拟时分析区分细胞亚群
42,RNA 编辑位点信息挖掘:gtex数据库etqtl挖掘
43,常规文献计量分析和可视化
44,肠道菌群和代谢物常规关联分析 (如 Pearson) :需来自于同一批样本
45,TCGA 变异数据挖掘和常规分析
46,单细胞数据细胞注释到具体细胞亚群:如 Treg 细胞
47,结合不同 (如疾病) 条件下 RNA-seq DEGs 筛选基因
48,circRNA 结合 miRNA 位点预测
49,circRNA 结合 mRNA 位点预测
50,TCMSP 数据库数据挖掘
51,编写爬虫工具批量获取网页数据
52,预测化合物靶点
53,从公共数据库挖掘
54,蛋白质或基因、肠道菌群、代谢物数据联合分析:通过公共数据
55,基因 (RNA) 和 eQTL 关联性挖掘:通过公共数据
56,eQTL 和 SNP 关联性挖掘:通过公共数据
57,SNP 和代谢物之间的关联性挖掘:通过公共数据
58,蛋白质与蛋白质之间的对接模拟
59,从 Plantaedb 数据库获取植物成分信息 (可能比多数中药数据库要更丰富) 
60,20% HOB 口服生物利用度预测
61,m6A 编辑位点获取
62,化合物信息获取:同义名、smiles、inchikey等
63,疾病相关基因集:PharmGKB 数据库挖掘
64,疾病相关基因集:DisGeNet 数据库挖掘
65,调控该基因的相关转录因子 (TF) 数据获取
66,化合物系统分类注释 (ClassyFire) 
67,从头开始的 LC-MS/MS 数据处理:数据格式转换、峰检测、化合物鉴定等
68,LC-MS/MS 数据以尖端预测工具鉴定更多化合物 (费时)
69,LC-MS/MS 数据深入分析:差异代谢物筛选、分子网络可视化、富集分析等
70,批量 OCR 识别图片中文字并整理结果
,...
,Last update: 2024-02-02 11:00:51.317741
,Author: Huang LiChuang
