Chinese name	Latin name	Latin name.link	Category Chinese name	Category Latin name
矮地茶 (Aidicha)	Ardisiae Japonicae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Ardisiae%20Japonicae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	止咳平喘药	Antitussive Antiasthmetics
艾叶 (Aiye)	Folium Artemisiae Argyi	https://tcmsp-e.com/tcmspsearch.php?qr=Folium%20Artemisiae%20Argyi&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	温经止血药	Channel-Warming Hemostatic
安息香 (Anxixiang)	Benzoinum	https://tcmsp-e.com/tcmspsearch.php?qr=Benzoinum&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	开窍药	Resuscitative Stimulant; Resuscitative Medicinal
八角茴香 (Bajiaohuixiang)	Anisi Stellati Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Anisi%20Stellati%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	温里药	Warming Interior Drugs
八角莲 (Bajiaolian)	Dysosmae Verspiellis Rhixoma Et Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Dysosmae%20Verspiellis%20Rhixoma%20Et%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
巴豆 (Badou)	Crotonis Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Crotonis%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	攻下药	Offensive Purgative Medicinal
巴戟天 (Bajitian)	Morindae Officinalis Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Morindae%20Officinalis%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阳药	Yang Reinforcing Drugs
菝葜 (Baqia)	Smilax China	https://tcmsp-e.com/tcmspsearch.php?qr=Smilax%20China&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
白扁豆 (Baibiandou)	Lablab Semen Album	https://tcmsp-e.com/tcmspsearch.php?qr=Lablab%20Semen%20Album&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补气药	Qi Reinforcing Drugs
白附子 (Baifuzi)	Typhonii Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Typhonii%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化痰药	Phlegresolving Medicine
白果 (Baiguo)	Ginkgo Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Ginkgo%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	止咳平喘药	Antitussive Antiasthmetics
白花菜子 (Baihuacaizi)	Semen Cleomis	https://tcmsp-e.com/tcmspsearch.php?qr=Semen%20Cleomis&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
白花蛇舌草 (Baihuasheshecao)	Hedyotis Diffusae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Hedyotis%20Diffusae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
白及 (Baiji)	Bletilla Striata (Thunb.Ex A.Murray)Rchb.F.	https://tcmsp-e.com/tcmspsearch.php?qr=Bletilla%20Striata%20(Thunb.Ex%20A.Murray)Rchb.F.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	收敛止血药	Astringent Hemostatic Medicinal
白蔹 (Bailian)	Ampelopsis Japonica	https://tcmsp-e.com/tcmspsearch.php?qr=Ampelopsis%20Japonica&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
白毛藤 (Baimaoteng)	Herba Solani Lyrati	https://tcmsp-e.com/tcmspsearch.php?qr=Herba%20Solani%20Lyrati&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
白毛夏枯草 (Baimaoxiakucao)	Ajugae Decumbentis Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Ajugae%20Decumbentis%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
白茅根 (Baimaogen)	Imperatae Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Imperatae%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	凉血止血药	Blood-Cooling Hemostatic Medicinal
白前 (Baiqian)	Cynanchistauntonii Rhizoma Et Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Cynanchistauntonii%20Rhizoma%20Et%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化痰药	Phlegresolving Medicine
白屈菜 (Baiqucai)	Chelidonii Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Chelidonii%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	止咳平喘药	Antitussive Antiasthmetics
白芍 (Baishao)	Paeoniae Radix Alba	https://tcmsp-e.com/tcmspsearch.php?qr=Paeoniae%20Radix%20Alba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补血药	Blood-Tonifying Medicinal
白术 (Baizhu)	Atractylodes Macrocephala Koidz.	https://tcmsp-e.com/tcmspsearch.php?qr=Atractylodes%20Macrocephala%20Koidz.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补气药	Qi Reinforcing Drugs
白头翁 (Baitouweng)	Pulsatilliae Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Pulsatilliae%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
白薇 (Baiwei)	Radix Cynanchi	https://tcmsp-e.com/tcmspsearch.php?qr=Radix%20Cynanchi&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清虚热药	Asthenic Heat Dispelling Drugs
白鲜皮 (Baixianpi)	Dictamni Cortex	https://tcmsp-e.com/tcmspsearch.php?qr=Dictamni%20Cortex&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
白药子 (Baiyaozi)	Radix Stephaniae Cepharanthae.	https://tcmsp-e.com/tcmspsearch.php?qr=Radix%20Stephaniae%20Cepharanthae.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
白芷 (Baizhi)	A. Dahurica (Fisch.) Benth. Et Hook	https://tcmsp-e.com/tcmspsearch.php?qr=A.%20Dahurica%20(Fisch.)%20Benth.%20Et%20Hook&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
百部 (Baibu)	Stemonae Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Stemonae%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	止咳平喘药	Antitussive Antiasthmetics
百合 (Baihe)	Lilii Bulbus	https://tcmsp-e.com/tcmspsearch.php?qr=Lilii%20Bulbus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阴药	Yin-Tonifying Medicinal
柏子仁 (Baiziren)	Platycladi Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Platycladi%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	安神药	Tranguilizing Medicinal
败酱草 (Baijiangcao)	Herba Patriniae	https://tcmsp-e.com/tcmspsearch.php?qr=Herba%20Patriniae&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
斑蝥 (Banmao)	Mylabris	https://tcmsp-e.com/tcmspsearch.php?qr=Mylabris&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
板蓝根 (Banlangen)	Isatidis Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Isatidis%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
半边莲 (Banbianlian)	Lobeliae Chinensis Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Lobeliae%20Chinensis%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
