Target ID	Target name	Target name.link	Source	Source.link
TAR00001	Penicillin binding protein 3	https://tcmsp-e.com/target.php?qt=1	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/1
TAR00002	Histidine decarboxylase	https://tcmsp-e.com/target.php?qt=2	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/3
TAR00003	Nitric oxide synthase, inducible	https://tcmsp-e.com/target.php?qt=3	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/7
TAR00004	Adenosine A1 receptor	https://tcmsp-e.com/target.php?qt=4	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/16
TAR00005	Coagulation Factor VIIIa	https://tcmsp-e.com/target.php?qt=5	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/19
TAR00006	Prostaglandin G/H synthase 1	https://tcmsp-e.com/target.php?qt=6	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/20
TAR00007	Dopamine D1 receptor	https://tcmsp-e.com/target.php?qt=7	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/23
TAR00008	Vascular endothelial growth factor receptor 3	https://tcmsp-e.com/target.php?qt=8	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/26
TAR00009	Vascular endothelial growth factor receptor 1	https://tcmsp-e.com/target.php?qt=9	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/32
TAR00010	Cystine/glutamate transporter	https://tcmsp-e.com/target.php?qt=10	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/33
TAR00011	Insulin receptor	https://tcmsp-e.com/target.php?qt=11	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/36
TAR00012	mRNA of RAF proto-oncogene serine/threonine-protein kinase	https://tcmsp-e.com/target.php?qt=12	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/40
TAR00013	Coagulation Factor Va	https://tcmsp-e.com/target.php?qt=13	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/46
TAR00014	Pyridoxal kinase	https://tcmsp-e.com/target.php?qt=14	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/48
TAR00015	Endothelin B receptor	https://tcmsp-e.com/target.php?qt=15	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/49
TAR00016	Muscarinic acetylcholine receptor M3	https://tcmsp-e.com/target.php?qt=16	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/51
TAR00017	Thrombin	https://tcmsp-e.com/target.php?qt=17	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/54
TAR00018	High affinity immunoglobulin epsilon receptor	https://tcmsp-e.com/target.php?qt=18	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/55
TAR00020	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase	https://tcmsp-e.com/target.php?qt=20	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/57
TAR00021	Glycine receptor	https://tcmsp-e.com/target.php?qt=21	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/62
TAR00023	92 kDa type IV collagenase	https://tcmsp-e.com/target.php?qt=23	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/65
TAR00024	Cannabinoid receptor 1	https://tcmsp-e.com/target.php?qt=24	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/68
TAR00025	Type-1 angiotensin II receptor	https://tcmsp-e.com/target.php?qt=25	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/70
TAR00026	Prostaglandin E2 receptor, EP1 subtype	https://tcmsp-e.com/target.php?qt=26	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/73
TAR00027	B-lymphocyte antigen CD20	https://tcmsp-e.com/target.php?qt=27	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/75
TAR00028	Nitric-oxide synthase, brain	https://tcmsp-e.com/target.php?qt=28	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/76
TAR00029	Acetyl-CoA acetyltransferase, mitochondrial	https://tcmsp-e.com/target.php?qt=29	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/78
TAR00030	Peroxisome proliferator activated receptor alpha	https://tcmsp-e.com/target.php?qt=30	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/80
TAR00031	Orphan nuclear receptor DAX-1	https://tcmsp-e.com/target.php?qt=31	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/84
TAR00032	Growth hormone receptor	https://tcmsp-e.com/target.php?qt=32	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/85
TAR00033	Hypoxanthine-guanine phosphoribosyltransferase	https://tcmsp-e.com/target.php?qt=33	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/87
TAR00034	CAMPATH-1 antigen	https://tcmsp-e.com/target.php?qt=34	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/93
TAR00035	5-hydroxytryptamine 4 receptor	https://tcmsp-e.com/target.php?qt=35	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/94
TAR00036	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	https://tcmsp-e.com/target.php?qt=36	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/97
TAR00037	Potassium voltage-gated channel subfamily H member 2	https://tcmsp-e.com/target.php?qt=37	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/101
TAR00038	Muscarinic acetylcholine receptor M1	https://tcmsp-e.com/target.php?qt=38	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/103
TAR00039	Cannabinoid receptor 2	https://tcmsp-e.com/target.php?qt=39	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/106
TAR00040	S-adenosylmethionine decarboxylase proenzyme	https://tcmsp-e.com/target.php?qt=40	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/113
TAR00041	N-acylglucosamine 2-epimerase	https://tcmsp-e.com/target.php?qt=41	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/121
TAR00042	P2Y purinoceptor 12	https://tcmsp-e.com/target.php?qt=42	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/122
TAR00043	Histamine H2 receptor	https://tcmsp-e.com/target.php?qt=43	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/124
TAR00044	Synaptic vesicle amine transporter	https://tcmsp-e.com/target.php?qt=44	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/131
TAR00045	ATP-binding cassette, sub-family A, member 1	https://tcmsp-e.com/target.php?qt=45	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/132
TAR00046	Estrogen receptor	https://tcmsp-e.com/target.php?qt=46	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/136
TAR00047	Corticosteroid 11-beta-dehydrogenase, isozyme 2	https://tcmsp-e.com/target.php?qt=47	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/145
TAR00048	Androgen receptor	https://tcmsp-e.com/target.php?qt=48	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/146
TAR00049	Aldehyde dehydrogenase, mitochondrial	https://tcmsp-e.com/target.php?qt=49	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/147
TAR00050	Lutropin-choriogonadotropic hormone receptor	https://tcmsp-e.com/target.php?qt=50	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/148
TAR00051	K-Cl cotransporter 3	https://tcmsp-e.com/target.php?qt=51	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/157
TAR00052	Sodium channel protein type 1 subunit alpha	https://tcmsp-e.com/target.php?qt=52	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/158
TAR00053	Penicillin binding protein 2	https://tcmsp-e.com/target.php?qt=53	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/159
TAR00054	Tubulin beta	https://tcmsp-e.com/target.php?qt=54	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/161
TAR00055	Retinoic acid receptor gamma	https://tcmsp-e.com/target.php?qt=55	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/162
TAR00056	D(1B) dopamine receptor	https://tcmsp-e.com/target.php?qt=56	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/163
TAR00057	Histamine H4 receptor	https://tcmsp-e.com/target.php?qt=57	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/164
TAR00058	FL cytokine receptor	https://tcmsp-e.com/target.php?qt=58	DrugBank	https://tcmsp-e.com/http://v3.drugbank.ca/molecules/165
